Interest Rate,Inflation,Constant
4.216666667,2.1,4
3.29,1.9,4
2.71,1.7,4
2.63,1.4,4
2.536666667,1.3,4
2.486666667,1.2,4
2.596666667,1.3,4
2.746666667,1.2,4
2.913333333,1.4,4
2.803333333,1.4,4
3,1.3,4
2.88,1.3,4
2.963333333,1.2,4
3.023333333,1.2,4
3.416666667,1.3,4
3.63,1.6,4
3.676666667,1.7,4
3.606666667,1.6,4
3.616666667,1.5,4
3.826666667,1.3,4
3.98,1.2,4
3.933333333,1.2,4
3.973333333,1.3,4
4.326666667,1.3,4
4.77,1.5,4
4.733333333,2,4
5.33,2.5,4
5.41,3,4
4.516666667,3.1,4
3.86,2.9,4
4.836666667,3,4
5.27,3.2,4
5.246666667,3.8,4
5.653333333,4.3,4
5.296666667,4.5,4
5.69,4.7,4
6.246666667,4.6,4
6.343333333,4.7,4
7.25,4.7,4
7.603333333,4.7,4
7.193333333,4.7,4
6.826666667,4.6,4
6.506666667,4.6,4
5.506666667,4.8,4
3.916666667,5,4
4.453333333,5,4
5.273333333,4.8,4
4.403333333,4,4
3.803333333,3.7,4
4.233333333,3.2,4
4.726666667,3,4
5.173333333,3.1,4
5.986666667,2.8,4
6.79,3.5,4
8.406666667,4.1,4
7.613333333,4.9,4
7.48,5.9,4
8.28,7.1,4
8.526666667,8.7,4
7.456666667,9.8,4
5.866666667,10.1,4
5.733333333,9.1,4
6.786666667,7.6,4
5.966666667,6.8,4
5.26,6.3,4
5.523333333,6,4
5.41,6,4
4.816666667,6,4
4.87,6.2,4
5.07,6.5,4
5.756666667,6.6,4
6.413333333,6.5,4
6.69,6.4,4
6.993333333,6.6,4
7.6,6.6,4
9.05,7,4
9.45,6.8,4
9.363333333,7.3,4
9.643333333,7.4,4
11.77333333,7.7,4
13.24333333,8.9,4
9.61,8.9,4
9.346666667,9.3,4
13.25666667,9.7,4
13.64666667,9.4,4
14.27666667,9.1,4
15.06,8.7,4
12.21333333,8,4
13.07,7.2,4
12.55333333,6.6,4
10.37666667,6.3,4
8.263333333,5.9,4
8.176666667,5.8,4
8.47,5.2,4
9.306666667,5.1,4
8.976666667,4.5,4
9.283333333,4.2,4
10.22,4.6,4
10.53333333,4,4
8.986666667,3.9,4
8.43,4.3,4
7.656666667,3.9,4
7.263333333,4,4
7.256666667,4,4
6.946666667,3.7,4
6.18,3.6,4
5.586666667,3.2,4
5.406666667,3.3,4
5.543333333,2.8,4
5.98,3.1,4
6.183333333,3.3,4
6.413333333,3.6,4
6.03,3.9,4
6.493333333,4.2,4
7.27,4.4,4
7.86,4.5,4
8.586666667,4.7,4
8.33,4.3,4
7.696666667,3.9,4
7.51,3.7,4
7.7,3.8,4
7.743333333,4,4
7.406666667,4.3,4
6.963333333,4.2,4
6.043333333,3.9,4
5.69,3.6,4
5.446666667,3.4,4
4.583333333,3.4,4
3.993333333,3.3,4
3.796666667,3.2,4
3.15,2.9,4
3.246666667,2.8,4
3.086666667,2.7,4
3.08,2.8,4
3.12,2.8,4
3.203333333,2.5,4
3.453333333,2.3,4
4.413333333,2.2,4
4.89,2.2,4
5.773333333,2.2,4
6.043333333,2.3,4
5.62,2.2,4
5.36,2.1,4
5.24,2.1,4
4.883333333,2,4
5.143333333,1.9,4
5.223333333,1.8,4
5.073333333,1.9,4
5.14,1.9,4
5.266666667,2,4
5.133333333,1.7,4
5.166666667,1.5,4
5.046666667,1.4,4
5.106666667,1.2,4
4.87,1.3,4
4.29,1.3,4
4.413333333,1.3,4
4.583333333,1.3,4
4.776666667,1.3,4
5.206666667,1.5,4
5.69,1.7,4
5.96,1.7,4
6.016666667,1.8,4
5.926666667,1.8,4
4.646666667,1.8,4
3.64,1.9,4
3.123333333,1.7,4
1.926666667,1.7,4
1.85,1.5,4
1.856666667,1.6,4
1.63,1.9,4
1.356666667,1.7,4
1.17,1.7,4
1.046666667,1.4,4
0.996666667,1.3,4
1.003333333,1.4,4
0.983333333,1.7,4
1.333333333,2,4
1.75,2,4
2.233333333,2.1,4
2.793333333,2.2,4
3.086666667,2.1,4
3.583333333,2.1,4
4.106666667,2.2,4
4.483333333,2.1,4
4.836666667,2.3,4
4.973333333,2.5,4
4.916666667,2.3,4
4.933333333,2.4,4
4.8,2.1,4
4.42,2,4
3.566666667,2.3,4
2.09,2.1,4
1.833333333,2.2,4
1.82,2.2,4
0.73,1.6,4
0.39,1.1,4
0.32,1.1,4
0.246666667,0.9,4
0.16,1.5,4
0.183333333,1.7,4
0.216666667,1.5,4
0.193333333,1.3,4
0.183333333,0.9,4
0.17,1.1,4
0.103333333,1.5,4
0.06,1.8,4
0.05,1.9,4
0.11,2.1,4
0.146666667,1.9,4
0.143333333,1.7,4
0.136666667,1.8,4
0.113333333,1.5,4
0.086666667,1.4,4
0.06,1.5,4
0.093333333,1.6,4
0.076666667,1.5,4
0.053333333,1.7,4
0.05,1.7,4
0.076666667,1.5,4
0.086666667,1.4,4
0.086666667,1.3,4
0.173333333,1.3,4
0.306666667,1.2,4
0.443333333,1.5,4
0.393333333,1.6,4
0.43,1.7,4
0.556666667,1.8,4
0.706666667,1.8,4
1.013333333,1.6,4
1.123333333,1.5,4
1.353333333,1.6,4
1.736666667,1.7,4
2.003333333,1.9,4
2.196666667,2,4
2.446666667,1.9,4
