DATE,GDPC1,FEDFUNDS
7/1/1954,2682.601,1.06
10/1/1954,2735.091,1.28
1/1/1955,2813.212,1.35
4/1/1955,2858.988,1.64
7/1/1955,2897.598,2.18
10/1/1955,2914.993,2.48
1/1/1956,2903.671,2.5
4/1/1956,2927.665,2.71
7/1/1956,2925.035,2.95
10/1/1956,2973.179,2.94
1/1/1957,2992.219,2.96
4/1/1957,2985.663,3
7/1/1957,3014.919,3.47
10/1/1957,2983.727,2.98
1/1/1958,2906.274,1.2
4/1/1958,2925.379,0.93
7/1/1958,2993.068,1.76
10/1/1958,3063.085,2.42
1/1/1959,3121.936,2.8
4/1/1959,3192.38,3.39
7/1/1959,3194.653,3.76
10/1/1959,3203.759,3.99
1/1/1960,3275.757,3.84
4/1/1960,3258.088,3.32
7/1/1960,3274.029,2.6
10/1/1960,3232.009,1.98
1/1/1961,3253.826,2.02
4/1/1961,3309.059,1.73
7/1/1961,3372.581,1.88
10/1/1961,3438.721,2.33
1/1/1962,3500.054,2.85
4/1/1962,3531.683,2.68
7/1/1962,3575.07,2.9
10/1/1962,3586.827,2.93
1/1/1963,3625.981,2.98
4/1/1963,3666.669,2.99
7/1/1963,3747.278,3.48
10/1/1963,3771.845,3.38
1/1/1964,3851.366,3.43
4/1/1964,3893.296,3.5
7/1/1964,3954.121,3.45
10/1/1964,3966.335,3.85
1/1/1965,4062.311,4.04
4/1/1965,4113.629,4.04
7/1/1965,4205.086,4.01
10/1/1965,4301.973,4.32
1/1/1966,4406.693,4.65
4/1/1966,4421.747,5.17
7/1/1966,4459.195,5.4
10/1/1966,4495.777,5.4
1/1/1967,4535.591,4.53
4/1/1967,4538.37,3.98
7/1/1967,4581.309,3.99
10/1/1967,4615.853,4.51
1/1/1968,4709.993,5.05
4/1/1968,4788.688,6.07
7/1/1968,4825.799,5.78
10/1/1968,4844.779,6.02
1/1/1969,4920.605,6.79
4/1/1969,4935.564,8.9
7/1/1969,4968.164,9.15
10/1/1969,4943.935,8.97
1/1/1970,4936.594,7.76
4/1/1970,4943.6,7.6
7/1/1970,4989.159,6.29
10/1/1970,4935.693,4.9
1/1/1971,5069.746,3.71
4/1/1971,5097.179,4.91
7/1/1971,5139.128,5.55
10/1/1971,5151.245,4.14
1/1/1972,5245.974,3.83
4/1/1972,5365.045,4.46
7/1/1972,5415.712,4.87
10/1/1972,5506.396,5.33
1/1/1973,5642.669,7.09
4/1/1973,5704.098,8.49
7/1/1973,5674.1,10.78
10/1/1973,5727.96,9.95
1/1/1974,5678.713,9.35
4/1/1974,5692.21,11.93
7/1/1974,5638.411,11.34
10/1/1974,5616.526,8.53
1/1/1975,5548.156,5.54
4/1/1975,5587.8,5.55
7/1/1975,5683.444,6.24
10/1/1975,5759.972,5.2
1/1/1976,5889.5,4.84
4/1/1976,5932.711,5.48
7/1/1976,5965.265,5.25
10/1/1976,6008.504,4.65
1/1/1977,6079.494,4.69
